nombre,apellido,genero,DNI,Ciudad,NroLibretaUniversitaria
Roberto,Mcpherson,Otro,25879889,Tandil,50800
Travis,Bell,Otro,16145116,Mar del plata,50801
Alison,Parker,Femenino,32379378,Tandil,50802
George,Scott,Femenino,30697955,Buenos Aires,50803
James,Morgan,Femenino,53792340,Tandil,50804
Laura,Russell,Otro,70042739,Tandil,50805
Matthew,Walker,Masculino,5248249,Mar del plata,50806
Donna,Cook,Otro,66943289,Buenos Aires,50807
William,Wilson,Masculino,43506842,Tandil,50808
Jennifer,Hoffman,Otro,56777235,Buenos Aires,50809
Jonathan,Hernandez,Femenino,68090956,Tandil,50810
Stephen,Clark,Otro,64475369,Buenos Aires,50811
Jonathan,Smith,Masculino,74678563,Buenos Aires,50812
Tammy,Pena,Femenino,98927007,Tandil,50813
Eric,Smith,Otro,16407288,Tandil,50814
Trevor,Thornton,Otro,982952,Mar del plata,50815
Ashley,Shaffer,Otro,40972735,Buenos Aires,50816
Melissa,Romero,Otro,85927940,Buenos Aires,50817
Johnny,Middleton,Femenino,52996371,Tandil,50818
Alicia,Luna,Masculino,87888571,Tandil,50819
David,Barker,Otro,25351870,Buenos Aires,50820
Cindy,Blackwell,Femenino,9263051,Olavarria,50821
Katie,Sellers,Femenino,37634696,Tandil,50822
Janet,Garcia,Otro,5964270,Mar del plata,50823
Mario,Williams,Otro,63107791,Olavarria,50824
April,Wong,Femenino,442832,Buenos Aires,50825
Terri,King,Masculino,40880980,Olavarria,50826
Gregory,Miller,Masculino,23204867,Mar del plata,50827
Donna,Vasquez,Femenino,9895564,Olavarria,50828
Stephanie,Rowland,Otro,51533443,Mar del plata,50829
